Tweet ID,User Name,Text,Created At,Hashtags Count,Reply Count,User Followers,User Following,User Verified,Retweets,Likes,Replies,Quotes,Community Notice,Full Text,Place,View Count,Is The Tweet Is a Quote
1905636759771185538,Kpop Charts,Happy 34th birthday to IRENE of Red Velvet! https://t.co/uHBRj9clRM,Fri Mar 28 15:03:03 +0000 2025,0,198,677944,79,False,7849,37767,198,1014,,Happy 34th birthday to IRENE of Red Velvet! https://t.co/uHBRj9clRM,,1261498,False
1905948795080216692,َ,GDRAGON : THE KING OF KPOP https://t.co/HFwcVJDvDp,Sat Mar 29 11:42:58 +0000 2025,0,0,4687,1085,False,784,2899,0,45,,GDRAGON : THE KING OF KPOP https://t.co/HFwcVJDvDp,,45941,False
1903713200140411070,Kpop Charts,BTS’ V shares new pictures. https://t.co/uIu4aoKXLB,Sun Mar 23 07:39:30 +0000 2025,0,317,677944,79,False,6512,31937,317,954,,BTS’ V shares new pictures. https://t.co/uIu4aoKXLB,,883105,False
1903797483286708535,kpop moments that could kill achilleans,THE BOYZ Eric https://t.co/1CAAcRONZ7,Sun Mar 23 13:14:25 +0000 2025,0,7,103067,414,False,1407,10427,7,182,,THE BOYZ Eric https://t.co/1CAAcRONZ7,,185859,False
1905862489251688905,kpop moments that could kill a sapphic,Sullyoon (NMIXX) https://t.co/Z1LXRtY205,Sat Mar 29 06:00:01 +0000 2025,0,2,279649,492,False,420,3622,2,44,,Sullyoon (NMIXX) https://t.co/Z1LXRtY205,,47790,False
1904503859709358173,kpop moments that could kill achilleans,"ATEEZ Mingi
 https://t.co/ynRQBBjKIm",Tue Mar 25 12:01:18 +0000 2025,0,6,103067,414,False,705,5588,6,68,,"ATEEZ Mingi
 https://t.co/ynRQBBjKIm",,101831,False
1905980557730685303,kpop moments that could kill achilleans,ONE PACT Jay Chang https://t.co/dyvdpBEbjm,Sat Mar 29 13:49:11 +0000 2025,0,3,103067,414,False,181,1350,3,53,,ONE PACT Jay Chang https://t.co/dyvdpBEbjm,,24067,False
1905988883298304191,kpop moments that could kill achilleans,CIX Hyunsuk https://t.co/tXPO2VEEmQ,Sat Mar 29 14:22:15 +0000 2025,0,0,103067,414,False,151,1349,0,24,,CIX Hyunsuk https://t.co/tXPO2VEEmQ,,16117,False
1906001397566390619,Kpop Charts,Happy 28th birthday to Cha Eunwoo of ASTRO! https://t.co/OQ3AYgtz5N,Sat Mar 29 15:11:59 +0000 2025,0,58,677944,79,False,440,1668,58,38,,Happy 28th birthday to Cha Eunwoo of ASTRO! https://t.co/OQ3AYgtz5N,,34476,False
1905578749233344978,Kpop Charts,"Moonbin friends will unite to release a tribute song for him in April.

The song will include members of ASTRO, I.M, Kihyun and Minhyuk from Monsta X, Hoshi, Wonwoo, Mingyu, Dokyeom and Seungkwan from SEVENTEEN, Moon Sua from Billlie, Kim Doyeon, Bang Chan from Stray Kids, Choi https://t.co/YRXw43ybSl",Fri Mar 28 11:12:32 +0000 2025,0,184,677944,79,False,5956,43765,184,1434,,"Moonbin friends will unite to release a tribute song for him in April.

The song will include members of ASTRO, I.M, Kihyun and Minhyuk from Monsta X, Hoshi, Wonwoo, Mingyu, Dokyeom and Seungkwan from SEVENTEEN, Moon Sua from Billlie, Kim Doyeon, Bang Chan from Stray Kids, Choi Yoojung, Naungjae, Chani from SF9 and VIVIZ. Cha Eunwoo also participated in the project.

https://t.co/30YdmEjSm0",,976553,False
1905964157460988023,Kpop Charts,CL joins G-DRAGON for the opening show of his tour ‘Übermensch’. https://t.co/eWhbyEJQWS,Sat Mar 29 12:44:00 +0000 2025,0,59,677944,79,False,913,4688,59,109,,CL joins G-DRAGON for the opening show of his tour ‘Übermensch’. https://t.co/eWhbyEJQWS,,109549,False
1505402514866286599,Stray Kids,"[Apple Music]
Apple Music A-List K-Pop Playlist Cover
@applemusic

https://t.co/TUEhqkSsqJ 

#StrayKids #스트레이키즈
#ODDINARY
#MANIAC #MANIAC_SKZ
#StrayKidsComeback
#YouMakeStrayKidsStay https://t.co/vg4NdAAVs8",Sun Mar 20 04:35:03 +0000 2022,7,241,11053405,23,False,12164,72490,241,232,,"[Apple Music]
Apple Music A-List K-Pop Playlist Cover
@applemusic

https://t.co/TUEhqkSsqJ 

#StrayKids #스트레이키즈
#ODDINARY
#MANIAC #MANIAC_SKZ
#StrayKidsComeback
#YouMakeStrayKidsStay https://t.co/vg4NdAAVs8",,,False
1906003797446390228,Kpop Charts,Happy 32nd birthday to MINO of WINNER! https://t.co/utIHURx153,Sat Mar 29 15:21:31 +0000 2025,0,14,677944,79,False,472,973,14,32,,Happy 32nd birthday to MINO of WINNER! https://t.co/utIHURx153,,33202,False
1905751929818583152,kpop moments that could kill achilleans,ZB1 Kim Jiwoong https://t.co/9pWO5S7orv,Fri Mar 28 22:40:41 +0000 2025,0,5,103067,414,False,628,5555,5,83,,ZB1 Kim Jiwoong https://t.co/9pWO5S7orv,,88183,False
1904135706764620113,Kpop Charts,"1 year ago today, ILLIT released ""Magnetic"". https://t.co/79gaup86by",Mon Mar 24 11:38:24 +0000 2025,0,176,677944,79,False,2515,14514,176,761,,"1 year ago today, ILLIT released ""Magnetic"". https://t.co/79gaup86by",,1200948,False
1905274672754675966,kpop moments that could kill achilleans,STRAY KIDS Hyunjin https://t.co/tkmDM7bxOJ,Thu Mar 27 15:04:14 +0000 2025,0,2,103067,414,False,193,1976,2,8,,STRAY KIDS Hyunjin https://t.co/tkmDM7bxOJ,,32350,False
1903795024954867932,kpop moments that could kill achilleans,THE BOYZ Hyunjae https://t.co/6Fa9Oso3lA,Sun Mar 23 13:04:39 +0000 2025,0,4,103067,414,False,1135,7920,4,141,,THE BOYZ Hyunjae https://t.co/6Fa9Oso3lA,,144321,False
1904931429529641223,Kpop Chart's,NMIXX's Sullyoon looks stunning in her newly shared photos. https://t.co/n3qOhEQZpg,Wed Mar 26 16:20:19 +0000 2025,0,46,2372,653,False,2128,20105,46,258,,NMIXX's Sullyoon looks stunning in her newly shared photos. https://t.co/n3qOhEQZpg,,335116,False
1906021206202933284,BTS Charts Daily,"Yunjin of Le Sserafim talking about #BTS in a recent interview 

""After seeing BTS receive awards in the U.S…I realized that ""Asians can succeed in the music industry too."" https://t.co/5u7iveQxoz",Sat Mar 29 16:30:42 +0000 2025,1,27,928352,88,False,1084,4659,27,39,,"Yunjin of Le Sserafim talking about #BTS in a recent interview 

""After seeing BTS receive awards in the U.S…I realized that ""Asians can succeed in the music industry too."" https://t.co/5u7iveQxoz",,38320,False
1905907852419736013,BTS_official,"j-hope ‘MONA LISA' Concept Photo &amp; MV Photo Sketch
@ (https://t.co/Hf5TttfYIm)
@ (https://t.co/DfzK0I9pFR)

#jhope #제이홉 #jhope_MONALISA https://t.co/QyN2SwIoCv",Sat Mar 29 09:00:16 +0000 2025,3,391,44950619,27,False,14253,37949,391,369,,"j-hope ‘MONA LISA' Concept Photo &amp; MV Photo Sketch
@ (https://t.co/Hf5TttfYIm)
@ (https://t.co/DfzK0I9pFR)

#jhope #제이홉 #jhope_MONALISA https://t.co/QyN2SwIoCv",,341036,False
1904880052459684199,sophie,bts aura. https://t.co/htpGaBOhBU,Wed Mar 26 12:56:10 +0000 2025,0,9,18280,4815,False,6738,25885,9,64,,bts aura. https://t.co/htpGaBOhBU,,283927,False
1905563948310565356,Pop Base,Jungkook of BTS has donated 1 billion won towards wildfire relief efforts in South Korea. https://t.co/W7YhILlNaZ,Fri Mar 28 10:13:43 +0000 2025,0,523,1960838,2513,False,8420,49240,523,1160,,Jungkook of BTS has donated 1 billion won towards wildfire relief efforts in South Korea. https://t.co/W7YhILlNaZ,,2324796,False
1905991418650165524,le sserafim pics,"YunJin talks about BTS and she is grateful to them

🐶 Seeing BTS win an award in America,
🐶 I realized, “Asians can make it in the music industry too.” https://t.co/wjTAFl8C4E",Sat Mar 29 14:32:20 +0000 2025,0,54,196572,697,False,2939,15135,54,233,,"YunJin talks about BTS and she is grateful to them

🐶 Seeing BTS win an award in America,
🐶 I realized, “Asians can make it in the music industry too.” https://t.co/wjTAFl8C4E",,167526,False
1903713200140411070,Kpop Charts,BTS’ V shares new pictures. https://t.co/uIu4aoKXLB,Sun Mar 23 07:39:30 +0000 2025,0,317,677951,79,False,6512,31939,317,954,,BTS’ V shares new pictures. https://t.co/uIu4aoKXLB,,883170,False
1905096841664102762,faye,BTS PAVED THE WAY https://t.co/TjJRL5tyGx,Thu Mar 27 03:17:36 +0000 2025,0,60,75626,886,False,13481,45384,60,155,,BTS PAVED THE WAY https://t.co/TjJRL5tyGx,,312353,False
1905347246708982239,BTS Charts Daily,"#Jhope message to ARMY 💜 in a new Interview

“Just knowing there are people who always listen and watch what you do. That's always incredibly touching I always feel huge gratitude toward our fans for that, There's no one word that describe the feeling I'm really grateful and I https://t.co/TRA8anDWyH",Thu Mar 27 19:52:37 +0000 2025,1,37,928352,88,False,2535,7517,37,112,,"#Jhope message to ARMY 💜 in a new Interview

“Just knowing there are people who always listen and watch what you do. That's always incredibly touching I always feel huge gratitude toward our fans for that, There's no one word that describe the feeling I'm really grateful and I have so much love for them”",,96013,False
1905835049762648261,BTS Charts Daily,#RM changed his rkive Instagram profile picture. https://t.co/245n7ThWHO,Sat Mar 29 04:10:59 +0000 2025,1,46,928352,88,False,2974,16137,46,402,,#RM changed his rkive Instagram profile picture. https://t.co/245n7ThWHO,,160140,False
1905657643663872083,🧜🏼‍♀️,84 days only till BTS reunion https://t.co/dfkKA4IU16,Fri Mar 28 16:26:02 +0000 2025,0,8,3111,1848,False,4420,28646,8,59,,84 days only till BTS reunion https://t.co/dfkKA4IU16,,186594,False
1904541282128507233,About Music,"Jimin of BTS at the MMA, 2019. https://t.co/yS1qMYC98G",Tue Mar 25 14:30:00 +0000 2025,0,205,301749,426,False,5781,27396,205,351,,"Jimin of BTS at the MMA, 2019. https://t.co/yS1qMYC98G",,320983,False
1905128974797205778,Pop Base,j-hope and SUGA of BTS have each donated 100 million won for wildfire relief efforts in South Korea. https://t.co/h0VhzKCuM6,Thu Mar 27 05:25:17 +0000 2025,0,135,1960838,2513,False,4975,30234,135,226,,j-hope and SUGA of BTS have each donated 100 million won for wildfire relief efforts in South Korea. https://t.co/h0VhzKCuM6,,371674,False
1905636964206084388,Ru⁷,"""BTS flirting with each other""

~A thread~ https://t.co/XgH3n5KT65",Fri Mar 28 15:03:51 +0000 2025,0,16,2364,1263,False,1962,19340,16,64,,"""BTS flirting with each other""

~A thread~ https://t.co/XgH3n5KT65",,548905,False
